# Te	G
# K	W/(m^3K)
400	67145154210341.52
500	68909963040380.96
600	70674771870420.36
700	72439580700459.69
800	74204389530499.23
900	75969198360538.59
1000	77734007190578.05
1100	79498816020617.56
1200	81263624850656.84
1300	83028433680696.28
1400	84793242510735.77
1500	86558051340775.16
1600	88322860170814.56
1700	90076925197109.13
1800	89798348277512.56
1900	92723751323291.2
2000	67513059986165.08
2100	75675654315865.59
2200	121256231690354.6
2300	150724192243243.2
2400	206146938820859.8
2500	287556120523321.6
2600	338882337619053.8
2700	454305615870049.2
2800	728019625885140.4
2900	956257142697903.6
3000	965080413915543.6
3100	1188069122177470
3200	1593445389078927
3300	2182019553052246
3400	2734942981499223
3500	2579447950962320
3600	3013649215567441
3700	3767547876740109
3800	4781498736483096
3900	5729270582140992
4000	5583713473307180
4100	6846415803658092
4200	8625558775216912
4300	9952170285667700
4400	1.04441453445117e+16
4500	1.265747154778746e+16
4600	1.311197094341668e+16
4700	1.421368678172865e+16
4800	1.589456666648967e+16
4900	1.833874337707429e+16
5000	1.673749264034124e+16
5100	1.896810668836888e+16
5200	1.995002940680086e+16
5300	1.860196022719587e+16
5400	2.1490221661747e+16
5500	2.387318552846437e+16
5600	2.759942504578981e+16
5700	2.893474487081454e+16
5800	2.803105273399113e+16
5900	2.91456591372881e+16
6000	3.082525721591233e+16
6100	3.259087568381721e+16
6200	3.414770892139344e+16
6300	3.493714457073121e+16
6400	3.47263687364644e+16
6500	3.462292343720893e+16
6600	3.523044831919208e+16
6700	3.551780922985434e+16
6800	3.888261511905527e+16
6900	4.155207121273452e+16
7000	4.617631706129636e+16
7100	4.52855263574784e+16
7200	4.3729201978712e+16
7300	4.308296395285364e+16
7400	4.822494311254024e+16
7500	4.937602516188248e+16
7600	4.680419917441548e+16
7700	5.236893132564148e+16
7800	5.537881496587872e+16
7900	5.431459043826416e+16
8000	5.474215793658208e+16
8100	6.267358043976596e+16
8200	6.495898002340012e+16
8300	6.36724066560904e+16
8400	6.451827359288092e+16
8500	5.743638641458392e+16
8600	5.8625851082508e+16
8700	6.624655573362704e+16
8800	6.758043694341756e+16
8900	6.477540729538664e+16
9000	6.978624281576964e+16
9100	6.222383969014668e+16
9200	6.643023016886128e+16
9300	7.064020210636076e+16
9400	7.481148673621069e+16
9500	6.606648882847068e+16
9600	6.895113959429324e+16
9700	6.727784818510916e+16
9800	6.911646673285528e+16
9900	7.240304084057224e+16
10000	8.28389359147388e+16
10100	8.741644405011744e+16
10200	7.138645247236784e+16
10300	7.861408962116883e+16
10400	9.017304708652056e+16
10500	8.314329305626496e+16
10600	8.727731975441856e+16
10700	7.775471618733064e+16
10800	8.269673838242691e+16
10900	8.643095649727168e+16
11000	8.651564578610304e+16
11100	9.093477242624445e+16
11200	8.612429361957512e+16
11300	8.023228610039405e+16
11400	9.246057066570296e+16
11500	9.612189090188672e+16
11600	9.119346652405016e+16
11700	9.56667746561928e+16
11800	9.524580840227768e+16
11900	8.351002828008704e+16
12000	9.110380450166328e+16
12100	9.81340080032912e+16
12200	9.905979893959496e+16
12300	9.892635415551704e+16
12400	9.370649083179144e+16
12500	8.829684712815552e+16
12600	9.546924778068656e+16
12700	1.00068029448246e+17
12800	1.010796594213018e+17
12900	1.001704704593342e+17
13000	8.203653366813456e+16
13100	9.972262447322896e+16
13200	9.92020345264436e+16
13300	9.539441287333459e+16
13400	9.674060279667848e+16
13500	1.01843018929409e+17
13600	1.002374875004824e+17
13700	1.035585470143363e+17
